Brand,Price,Processor Type,SSD Capacity,RAM (System Memory),Graphics Card,Graphics Card Capacity,Operating System,Graphics Card Memory Type,Graphics Card Type,Warranty Type,RAM (System Memory) Type,Processor Core Count,Processor Generation,Processor Model,Usage Purpose,GPU Memory,Base Processor Speed (GHz),Connections,Screen Size,Maximum Expandable Memory
ACER,37461.3,Intel Core i5,4096 GB,36 GB,Nvidia GeForce GT 730,4096 GB,Free Dos (No Operating System),DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,22282.79,Intel Core i3,256 GB,16 GB,AMD Radeon RX550,256 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,26702.08,Intel Core i5,512 GB,20 GB,Integrated Graphics,512 GB,Windows,Integrated,Integrated,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,Shared,1.8,USB,23.8 inches,64 GB
ACER,40238.63,Intel Core i5,4096 GB,16 GB,Nvidia GeForce GTX 1650,4096 GB,Windows,GDDR6,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,22029.14,Intel Core i3,256 GB,40 GB,AMD Radeon RX550,256 GB,Free Dos (No Operating System),GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,22130.33,Intel Core i3,512 GB,48 GB,Nvidia GeForce GT 730,512 GB,Free Dos (No Operating System),DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,22883.52,Intel Core i3,512 GB,16 GB,AMD Radeon RX550,512 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,34057.18,Intel Core i3,4096 GB,36 GB,AMD Radeon RX550,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,22640.33,Intel Core i3,2048 GB,24 GB,Integrated Graphics,2048 GB,Free Dos (No Operating System),Integrated,Integrated,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,Shared,1.8,USB,23.8 inches,64 GB
ACER,31399.71,Intel Core i3,2048 GB,40 GB,AMD Radeon RX550,2048 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,23212.82,Intel Core i3,512 GB,32 GB,Nvidia GeForce GT 730,512 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,24592.28,Intel Core i3,256 GB,36 GB,Nvidia GeForce GT 730,256 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,24181.11,Intel Core i3,1024 GB,12 GB,AMD Radeon RX550,1024 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,21771.05,Intel Core i3,512 GB,16 GB,Nvidia GeForce GT 730,512 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,30759.34,Intel Core i3,4096 GB,16 GB,NVIDIA GeForce GT1030,4096 GB,Free Dos (No Operating System),GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,27565.36,Intel Core i5,256 GB,32 GB,Nvidia GeForce GT 730,256 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,34834.78,Intel Core i3,4096 GB,64 GB,Nvidia GeForce GT 730,4096 GB,Free Dos (No Operating System),DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,36126.38,Intel Core i3,4096 GB,48 GB,Nvidia GeForce GT 730,4096 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,39623.65,Intel Core i5,2048 GB,48 GB,Nvidia GeForce GTX 1650,2048 GB,Windows,GDDR6,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,33301.26,Intel Core i5,256 GB,64 GB,AMD Radeon RX550,256 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,32637.34,Intel Core i5,2048 GB,32 GB,Integrated Graphics,2048 GB,Windows,Integrated,Integrated,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,Shared,1.8,USB,23.8 inches,64 GB
ACER,25048.84,Intel Core i3,1024 GB,12 GB,Nvidia GeForce GT 730,1024 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,29367.56,Intel Core i5,512 GB,48 GB,Nvidia GeForce GT 730,512 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,29735.12,Intel Core i5,1024 GB,16 GB,AMD Radeon RX550,1024 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,33798.75,Intel Core i5,2048 GB,24 GB,Nvidia GeForce GT 730,2048 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,33901.99,Intel Core i5,512 GB,64 GB,AMD Radeon RX550,512 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,35403.97,Intel Core i3,4096 GB,64 GB,NVIDIA GeForce GT1030,4096 GB,Free Dos (No Operating System),GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,26312.6,Intel Core i3,1024 GB,48 GB,Nvidia GeForce GT 730,1024 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,32597.29,Intel Core i5,2048 GB,12 GB,Nvidia GeForce GT 730,2048 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,22612.08,Intel Core i3,256 GB,32 GB,Nvidia GeForce GT 730,256 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,32329.74,Intel Core i3,2048 GB,64 GB,Nvidia GeForce GT 730,2048 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,40211.93,Intel Core i5,4096 GB,48 GB,AMD Radeon RX550,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,23769.61,Intel Core i3,512 GB,64 GB,Nvidia GeForce GT 730,512 GB,Free Dos (No Operating System),DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,23662.25,Intel Core i3,256 GB,8 GB,AMD Radeon RX550,256 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,29205.14,Intel Core i5,512 GB,20 GB,NVIDIA GeForce GT1030,512 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,20764.26,Intel Core i3,256 GB,40 GB,Nvidia GeForce GT 730,256 GB,Free Dos (No Operating System),DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,27836.24,Intel Core i3,512 GB,64 GB,Nvidia GeForce GT 730,512 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,32862.2,Intel Core i5,4096 GB,8 GB,Integrated Graphics,4096 GB,Free Dos (No Operating System),Integrated,Integrated,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,Shared,1.8,USB,23.8 inches,64 GB
ACER,33928.69,Intel Core i5,256 GB,40 GB,Nvidia GeForce GTX 1650,256 GB,Windows,GDDR6,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,26123.6,Intel Core i5,512 GB,12 GB,Nvidia GeForce GT 730,512 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,23108.69,Intel Core i3,1024 GB,32 GB,Integrated Graphics,1024 GB,Windows,Integrated,Integrated,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,Shared,1.8,USB,23.8 inches,64 GB
ACER,31309.93,Intel Core i5,512 GB,64 GB,NVIDIA GeForce GT1030,512 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,25326.05,Intel Core i5,512 GB,20 GB,NVIDIA GeForce GT1030,512 GB,Free Dos (No Operating System),GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,20645.87,Intel Core i3,1024 GB,36 GB,Integrated Graphics,1024 GB,Free Dos (No Operating System),Integrated,Integrated,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,Shared,1.8,USB,23.8 inches,64 GB
ACER,30146.29,Intel Core i5,512 GB,36 GB,Nvidia GeForce GT 730,512 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,31243.63,Intel Core i5,1024 GB,48 GB,Integrated Graphics,1024 GB,Windows,Integrated,Integrated,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,Shared,1.8,USB,23.8 inches,64 GB
ACER,28347.98,Intel Core i3,256 GB,64 GB,AMD Radeon RX550,256 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,33157.08,Intel Core i5,1024 GB,32 GB,AMD Radeon RX550,1024 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,29263.43,Intel Core i5,1024 GB,48 GB,Integrated Graphics,1024 GB,Windows,Integrated,Integrated,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,Shared,1.8,USB,23.8 inches,64 GB
ACER,23520.41,Intel Core i5,256 GB,12 GB,Integrated Graphics,256 GB,Windows,Integrated,Integrated,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,Shared,1.8,USB,23.8 inches,64 GB
ACER,25663.81,Intel Core i3,2048 GB,12 GB,Nvidia GeForce GT 730,2048 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,26965.33,Intel Core i5,256 GB,40 GB,NVIDIA GeForce GT1030,256 GB,Free Dos (No Operating System),GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,30532.8,Intel Core i5,1024 GB,12 GB,Nvidia GeForce GTX 1650,1024 GB,Free Dos (No Operating System),GDDR6,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,29134.39,Intel Core i5,1024 GB,8 GB,AMD Radeon RX550,1024 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,35425.52,Intel Core i3,4096 GB,36 GB,NVIDIA GeForce GT1030,4096 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,28103.79,Intel Core i5,256 GB,16 GB,Nvidia GeForce GT 730,256 GB,Windows,DDR3,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,34372.79,Intel Core i5,2048 GB,40 GB,AMD Radeon RX550,2048 GB,Windows,GDDR5,External,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,12th Generation,12400,Office - Work,4 GB and below,1.8,USB,23.8 inches,64 GB
ACER,22011.94,Intel Core i3,1024 GB,48 GB,Integrated Graphics,1024 GB,Free Dos (No Operating System),Integrated,Integrated,Acer Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,12th Generation,12100,Office - Work,Shared,1.8,USB,23.8 inches,64 GB
