Brand,Price,Processor Type,SSD Capacity,RAM (System Memory),Graphics Card,Graphics Card Capacity,Operating System,Graphics Card Memory Type,Graphics Card Type,Warranty Type,RAM (System Memory) Type,Processor Core Count,Processor Generation,Processor Model,Usage Purpose,GPU Memory,Base Processor Speed (GHz),Connections,Screen Size,Maximum Expandable Memory
Zeiron,13621.02,Intel Core i5,240 GB,16 GB,AMD Radeon RX 550,1024 GB,Free Dos (No Operating System),DDR3,External,Zeiron Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,i5-3470,Gaming,4 GB and below,1.8,HDMI,24 inches,16 GB
DMC,12399.0,Intel Core i7,256 GB,16 GB,Nvidia Geforce GT 740,500 GB,Windows,DDR3,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,12th Generation,860,Gaming,4 GB and below,1.8,HDMI,24 inches,64 GB
jetucuzal,6499.0,Intel Core i7,256 GB,16 GB,Intel HD Graphics,256 GB,Windows,Integrated,Integrated,Importer Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",8,3rd Generation,3770,Office - Work,Shared,1.8,VGA to HDMI,19 inches,16 GB
TURBOX,6331.847499999989,Intel Core i3,4096 GB,16 GB,Intel HD Graphics,8 GB,Free Dos (No Operating System),DDR,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,2nd Generation,2100,Home - School,Shared,1.8,HDMI,23.8 inches,16 GB
Zeiron,14649.0,Intel Core i5,4096 GB,16 GB,AMD Radeon RX 550,1024 GB,Free Dos (No Operating System),GDDR5,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,i5-3470,Gaming,4 GB and below,1.8,HDMI,24 inches,16 GB
IZOLY,6331.847499999989,Intel Core i5,256 GB,8 GB,Integrated Graphics,256 GB,Free Dos (No Operating System),Integrated,Integrated,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,i5-3470,Office - Work,Shared,1.8,Kablo,5.5 to 6 inches,16 GB
Zeiron,19999.0,AMD Ryzen 5,1024 GB,16 GB,AMD Radeon RX 550,1024 GB,Free Dos (No Operating System),GDDR5,External,Zeiron Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",6,3rd Generation,3600,Gaming,4 GB and below,1.8,HDMI to Display Port,24 inches,32 GB
Zeiron,8349.0,Intel Core i5,4096 GB,16 GB,Nvidia GeForce GT 730,1024 GB,Free Dos (No Operating System),DDR3,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,i5-3470,Gaming,4 GB and below,1.8,HDMI,23.8 inches,16 GB
IZOLY,9799.0,Intel Core i5,256 GB,16 GB,AMD Radeon RX 580,256 GB,Free Dos (No Operating System),GDDR5,External,Izoly Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,4th Generation,4570,Gaming,8 GB,1.8,HDMI to Display Port,23.8 inches,16 GB
Zeiron,7599.0,Intel Core i5,4096 GB,16 GB,Integrated Graphics,500 GB,Free Dos (No Operating System),DDR3,Integrated,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,1st Generation,300U,Home - School,Shared,1.8,HDMI,19 inches,8 GB
jetucuzal,6331.847499999989,Intel Core i3,128 GB,8 GB,Integrated Graphics,128 GB,Windows,Integrated,Integrated,Importer Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,2nd Generation,2100,Home - School,Shared,1.8,VGA to HDMI,19 inches,64 GB
DMC,14549.0,Intel Core i7,256 GB,16 GB,Nvidia Geforce GT 740,500 GB,Windows,DDR3,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,12th Generation,2600,Gaming,4 GB and below,1.8,HDMI,24 inches,64 GB
DMC,8699.0,Intel Core i5,256 GB,16 GB,Nvidia Geforce GT 740,256 GB,Windows,DDR3,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,12th Generation,2400,Gaming,4 GB and below,1.8,VGA to HDMI,19 inches,64 GB
Life Technology,6599.99,Intel Core i5,256 GB,16 GB,Integrated Graphics,256 GB,Free Dos (No Operating System),Integrated,Integrated,Importer Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,2nd Generation,2400,Home - School,Shared,1.8,VGA to HDMI,19 inches,16 GB
DMC,8599.0,Intel Core i5,256 GB,16 GB,AMD Radeon R7 240,256 GB,Windows,DDR3,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,12th Generation,2400,Gaming,4 GB and below,1.8,VGA to HDMI,19 inches,16 GB
Zeiron,8499.0,Intel Core i5,4096 GB,16 GB,Intel HD Graphics,500 GB,Free Dos (No Operating System),DDR3,Integrated,Zeiron Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,i5-3470,Home - School,Shared,1.8,VGA,19 inches,16 GB
DMC,7599.0,Intel Core i5,256 GB,16 GB,AMD Radeon R7 240,256 GB,Windows,GDDR5,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,12th Generation,i5-3470,Gaming,4 GB and below,1.8,Kablo,23.8 inches,16 GB
Zeiron,10020.0,Intel Core i5,240 GB,16 GB,Nvidia GeForce GT 730,500 GB,Free Dos (No Operating System),DDR3,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,i5-3470,Gaming,4 GB and below,1.8,VGA,19 inches,16 GB
Zeiron,22699.0,AMD Ryzen 5,1024 GB,16 GB,Nvidia GeForce GTX 1650,500 GB,Free Dos (No Operating System),GDDR6,External,Zeiron Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",6,3rd Generation,3600,Gaming,4 GB and below,1.8,HDMI to Display Port,24 inches,64 GB
jetucuzal,6331.847499999989,Intel Core i3,128 GB,16 GB,Integrated Graphics,128 GB,Windows,Integrated,Integrated,Importer Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,2nd Generation,2100,Office - Work,4 GB and below,1.8,VGA to HDMI,23.8 inches,16 GB
Super,7999.0,Intel Core i5,256 GB,16 GB,Integrated Graphics,256 GB,Windows,Integrated,Integrated,Importer Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,3470,Office - Work,Shared,1.8,VGA to HDMI,24 inches,16 GB
Zeiron,9199.0,Intel Core i5,0 GB,16 GB,Intel HD Graphics,256 GB,Free Dos (No Operating System),Integrated,Integrated,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,i5-3470,Office - Work,Shared,1.8,Wi-Fi,24 inches,16 GB
TURBOX,6331.847499999989,Intel Core i5,256 GB,16 GB,Intel Iris Graphics,256 GB,Free Dos (No Operating System),Integrated,Integrated,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,3470,Office - Work,Shared,1.8,HDMI,23.8 inches,16 GB
IZOLY,14669.0,Intel Core i5,256 GB,16 GB,AMD Radeon RX 580,256 GB,Free Dos (No Operating System),GDDR5,External,Izoly Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,4th Generation,4570,Gaming,8 GB,1.8,HDMI,24 inches,16 GB
Zeiron,7299.0,Intel Core i5,256 GB,8 GB,Intel HD Graphics,256 GB,Free Dos (No Operating System),DDR3,Integrated,Zeiron Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,3rd Generation,i5-3470,Home - School,Shared,1.8,HDMI,19 inches,16 GB
Zeiron,11749.0,Intel Core i7,4096 GB,16 GB,Nvidia GeForce GT 730,500 GB,Free Dos (No Operating System),DDR3,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,1st Generation,860,Gaming,4 GB and below,1.8,HDMI,23.8 inches,16 GB
RAMTECH,17499.0,Intel Core i5,1024 GB,32 GB,AMD Radeon R5 230,256 GB,Free Dos (No Operating System),DDR3,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",6,12th Generation,12400F,Office - Work,4 GB and below,1.8,USB,24 inches,64 GB
RAMTECH,19345.0,Intel Core i3,4096 GB,16 GB,Nvidia GeForce RTX 3050,256 GB,Free Dos (No Operating System),GDDR6,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,10th Generation,10100F,Gaming,8 GB,1.8,VGA to HDMI,23.8 inches,32 GB
jetucuzal,7130.0,Intel Core i3,256 GB,16 GB,Integrated Graphics,256 GB,Free Dos (No Operating System),Integrated,Integrated,Importer Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,2nd Generation,2100,Office - Work,Shared,1.8,VGA to HDMI,19 inches,16 GB
Zeiron,7157.0,Intel Core i5,4096 GB,16 GB,Intel HD Graphics,256 GB,Free Dos (No Operating System),Integrated,Integrated,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,1st Generation,650,Office - Work,Shared,1.8,HDMI,19 inches,8 GB
jetucuzal,6331.847499999989,Intel Core i3,128 GB,8 GB,Intel HD Graphics,128 GB,Windows,Integrated,Integrated,Importer Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",4,2nd Generation,2100,Office - Work,Shared,1.8,VGA to HDMI,23.8 inches,64 GB
Zeiron,57999.0,AMD Ryzen 9,1024 GB,32 GB,Nvidia GeForce RTX 3050,1024 GB,Free Dos (No Operating System),GDDR6,External,Zeiron Turkey Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",12+,5th Generation,5900X,Gaming,8 GB,1.8,Display Port,27 inches,64 GB
Gamepage,23699.0,Intel Core i5,4096 GB,16 GB,Nvidia GeForce GTX 1650,1024 GB,Free Dos (No Operating System),GDDR6,External,Official Distributor Warranty,"<bound method Series.dropna of 0       DDR3
1       DDR3
2       DDR3
3       DDR4
4       DDR3
        ... 
2462    DDR4
2463    DDR4
2464    DDR4
2465    DDR4
2466    DDR4
Name: RAM (System Memory) Type, Length: 2467, dtype: object>",6,10th Generation,10400F,Gaming,4 GB and below,1.8,Wi-Fi,24 inches,32 GB
